지점,지점명,시간(UTC),월평균 기온,일평균 기온의 월표준편차,월평균 일최고기온,월평균 일최저기온
47133,대전,2010-05-31 0:00,17.8,2.5,23.5,12
47133,대전,2010-06-30 0:00,23.4,1.6,28.6,18.4
47133,대전,2010-07-31 0:00,25.7,1.3,29.8,22.7
47133,대전,2010-08-31 0:00,27.1,1.4,30.8,24.4
47133,대전,2010-09-30 0:00,22.6,3.4,27.2,19.2
47133,대전,2010-10-31 0:00,14.2,3.5,20,9.4
47133,대전,2010-11-30 0:00,6.9,2.9,13.1,1.3
47133,대전,2010-12-31 0:00,0.1,4.9,5.3,-4.7
47133,대전,2011-01-31 0:00,-5.7,2.1,-0.6,-10.4
47133,대전,2011-02-28 0:00,1.8,3.2,7.6,-3.3
47133,대전,2011-03-31 0:00,4.5,3.2,10.5,-0.7
47133,대전,2011-04-30 0:00,11.6,2.1,17.7,5.9
47133,대전,2011-05-31 0:00,18.1,2.2,23.6,13.1
47133,대전,2011-06-30 0:00,22.7,2.1,27.8,18.2
47133,대전,2011-07-31 0:00,25.7,1.9,29,23.2
47133,대전,2011-08-31 0:00,25.8,2,29.3,23.1
47133,대전,2011-09-30 0:00,21.2,3.3,25.9,17.2
47133,대전,2011-10-31 0:00,13.5,2.2,19.5,8.6
47133,대전,2011-11-30 0:00,11.2,5.1,16.1,7.1
47133,대전,2011-12-31 0:00,0.4,3.8,4.9,-3.6
47133,대전,2012-01-31 0:00,-1.5,3,3,-5.8
47133,대전,2012-02-29 0:00,-1,4.1,4.5,-5.9
47133,대전,2012-03-31 0:00,5.7,2.9,10.5,1.1
47133,대전,2012-04-30 0:00,13.2,3.9,19.6,7.1
47133,대전,2012-05-31 0:00,19.8,1.9,25.9,14.4
47133,대전,2012-06-30 0:00,23.8,1.4,29,19.2
47133,대전,2012-07-31 0:00,26.3,2,30.1,23
47133,대전,2012-08-31 0:00,27.1,2.9,31,23.8
47133,대전,2012-09-30 0:00,20.6,2.1,24.8,16.8
47133,대전,2012-10-31 0:00,14.3,2.8,20.7,8.9
47133,대전,2012-11-30 0:00,6,3,11.1,1.8
47133,대전,2012-12-31 0:00,-3,3.6,1.5,-7.2
47133,대전,2013-01-31 0:00,-2.6,4.3,2.5,-7.5
47133,대전,2013-02-28 0:00,0,4.1,5.1,-4.7
47133,대전,2013-03-31 0:00,6.6,3.1,13.7,0
47133,대전,2013-04-30 0:00,10.6,3.4,16.5,4.4
47133,대전,2013-05-31 0:00,18.8,3.1,24.8,13
47133,대전,2013-06-30 0:00,23.9,1.5,28.8,19.8
47133,대전,2013-07-31 0:00,26.8,1.2,30.1,24
47133,대전,2013-08-31 0:00,27.8,1.7,32.1,24.2
47133,대전,2013-09-30 0:00,21.4,1.9,26.1,17.6
47133,대전,2013-10-31 0:00,15.5,4,21.7,10.4
47133,대전,2013-11-30 0:00,6.7,4.2,12,2.3
47133,대전,2013-12-31 0:00,1.3,3.1,5.9,-2.8
47133,대전,2014-01-31 0:00,-0.1,2.9,5.9,-5.2
47133,대전,2014-02-28 0:00,2.7,3.5,8.3,-1.9
47133,대전,2014-03-31 0:00,8.3,4.9,13.9,3
47133,대전,2014-04-30 0:00,14.3,2.9,21.1,8.2
47133,대전,2014-05-31 0:00,19.4,3.5,25.9,13.3
47133,대전,2014-06-30 0:00,22.9,1.4,27.7,18.9
47133,대전,2014-07-31 0:00,25.9,1.7,30.2,22.5
47133,대전,2014-08-31 0:00,24.2,1.6,27.8,21.4
