지점,지점명,시간(UTC),월평균 기온,일평균 기온의 월표준편차,월평균 일최고기온,월평균 일최저기온
59287,광조우,2010-05-31 0:00,26,1.6,29.6,23.3
59287,광조우,2010-06-30 0:00,26.8,2.2,30.2,24.6
59287,광조우,2010-07-31 0:00,29.6,1.9,33.9,26.8
59287,광조우,2010-08-31 0:00,29.3,1.3,33.8,25.9
59287,광조우,2010-09-30 0:00,28,2,32.1,25.2
59287,광조우,2010-10-31 0:00,24,3.1,27.8,21.2
59287,광조우,2010-11-30 0:00,20.3,1.2,25.8,16.1
59287,광조우,2010-12-31 0:00,15.7,4.2,21.4,11.6
59287,광조우,2011-01-31 0:00,9.5,2.1,14,6.5
59287,광조우,2011-02-28 0:00,14.5,4,20.2,11.1
59287,광조우,2011-03-31 0:00,15.8,2.7,20.3,12.8
59287,광조우,2011-04-30 0:00,22.7,2.2,28.6,18.5
59287,광조우,2011-05-31 0:00,24.9,2.2,29.3,21.6
59287,광조우,2011-06-30 0:00,28,1.3,32.3,25.2
59287,광조우,2011-07-31 0:00,28.4,1.5,33.3,25.2
59287,광조우,2011-08-31 0:00,28.9,1.1,34.4,24.9
59287,광조우,2011-09-30 0:00,26.7,1.7,31.9,23.4
59287,광조우,2011-10-31 0:00,22.8,1.8,28,19.5
59287,광조우,2011-11-30 0:00,21.1,2.6,26.6,17.6
59287,광조우,2011-12-31 0:00,15.7,4.2,21.4,11.6
59287,광조우,2012-01-31 0:00,11.4,3.5,15.2,9.1
59287,광조우,2012-02-29 0:00,14,4.3,18.3,11.2
59287,광조우,2012-03-31 0:00,17.9,4.1,22.2,14.9
59287,광조우,2012-04-30 0:00,23.1,2.5,26.9,20.5
59287,광조우,2012-05-31 0:00,26.8,1.3,31.4,23.9
59287,광조우,2012-06-30 0:00,27.6,1.3,32,24.9
59287,광조우,2012-07-31 0:00,28.1,1.6,32.8,24.9
59287,광조우,2012-08-31 0:00,28.1,1.3,33.5,24.9
59287,광조우,2012-09-30 0:00,26,1.7,31.4,22.8
59287,광조우,2012-10-31 0:00,23.2,1.5,29.2,19.4
59287,광조우,2012-11-30 0:00,19.2,3.3,23.4,16.3
59287,광조우,2012-12-31 0:00,13.8,2.7,20,9.8
59287,광조우,2013-01-31 0:00,13.3,3,18.5,9.9
59287,광조우,2013-02-28 0:00,17.3,3.4,22,14.4
59287,광조우,2013-03-31 0:00,19.2,2.8,23.8,16
59287,광조우,2013-04-30 0:00,20.6,3,24.2,18.3
59287,광조우,2013-05-31 0:00,25.3,2.8,29.2,22.8
59287,광조우,2013-06-30 0:00,27.6,2.1,31.6,24.8
59287,광조우,2013-07-31 0:00,27.4,1.5,32,24.6
59287,광조우,2013-08-31 0:00,27.5,1.3,31.8,24.6
59287,광조우,2013-10-31 0:00,22.9,2.3,28.8,19.1
59287,광조우,2013-11-30 0:00,19,4.1,24.4,15.7
59287,광조우,2013-12-31 0:00,14.6,3.7,19.1,11.4
59287,광조우,2014-01-31 0:00,13,2.8,20.4,8.4
59287,광조우,2014-02-28 0:00,13,5.3,17.9,9.8
59287,광조우,2014-03-31 0:00,17.3,3.5,20.9,14.9
59287,광조우,2014-04-30 0:00,22.6,2.2,26.4,20
59287,광조우,2014-05-31 0:00,22.6,2.2,26.4,20
59287,광조우,2014-06-30 0:00,28.3,1.5,32.7,25.1
59287,광조우,2014-07-31 0:00,28.9,1.3,34.2,25.2
59287,광조우,2014-08-31 0:00,28,1.4,33.3,24.7
59287,광조우,2014-09-30 0:00,27.5,1.1,33,24.2
59287,광조우,2014-10-31 0:00,24,1.7,30.1,20.1
59287,광조우,2014-11-30 0:00,20.1,2.3,24.5,17.2
59287,광조우,2014-12-31 0:00,11.9,2.7,18,8.2
59287,광조우,2015-01-31 0:00,-99.9,-99.9,-99.9,-99.9
59287,광조우,2015-02-28 0:00,16.3,3.8,21.2,13.1
59287,광조우,2015-03-31 0:00,18.4,3.9,21.9,16.3
59287,광조우,2015-04-30 0:00,21.9,4,26.9,18.3
59287,광조우,2015-05-31 0:00,25.9,1.8,29.6,23.6
59287,광조우,2015-06-30 0:00,28.5,1.5,32.8,25.3
59287,광조우,2015-07-31 0:00,28.1,1.6,32.8,25.2
59287,광조우,2015-08-31 0:00,27.9,1.5,33.1,24.5
59287,광조우,2015-09-30 0:00,26.9,1.2,31.5,23.9
59287,광조우,2015-10-31 0:00,23.6,2.1,28.7,20.3
59287,광조우,2015-11-30 0:00,21,3.4,25.8,18
59287,광조우,2015-12-31 0:00,12.8,2.4,18.4,9.1
59287,광조우,2016-01-31 0:00,13.3,4.3,16.6,11.2
59287,광조우,2016-02-29 0:00,12.4,3.6,17.1,9.6
59287,광조우,2016-03-31 0:00,16.2,3.9,20.6,13.4
59287,광조우,2016-04-30 0:00,23.6,1.5,26.4,21.5
59287,광조우,2016-05-31 0:00,25.8,1.7,30,22.8
59287,광조우,2016-06-30 0:00,28,1.8,32.8,24.8
59287,광조우,2016-07-31 0:00,28.9,1.3,33.7,25.4
59287,광조우,2016-08-31 0:00,27.9,1.3,32.8,25
59287,광조우,2016-09-30 0:00,26.7,1.9,31.3,23.9
59287,광조우,2016-10-31 0:00,25,1.8,29.5,22.4
59287,광조우,2016-11-30 0:00,18.9,4.3,23.7,15.9
59287,광조우,2016-12-31 0:00,14.9,3.2,19,12.5
59287,광조우,2017-01-31 0:00,15.6,2.9,21.2,12.3
59287,광조우,2017-02-28 0:00,15,3.8,21.2,11.3
59287,광조우,2017-03-31 0:00,17.8,2.9,21.8,15.3
